cell,r,power,K,check_steps,mismatch,mismatch_rate_pct,tps,delta_pct_vs_ctrl,quality_ok,log_check,log_perf
r128_p0_K8192,128,0,8192,64,6,9.375,28.7992,-2.089,1,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r128_p0_K8192_check.txt,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r128_p0_K8192_perf.txt
r128_p0_K16384,128,0,16384,64,1,1.5625,29.427,0.046,1,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r128_p0_K16384_check.txt,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r128_p0_K16384_perf.txt
r128_p1_K4096,128,1,4096,64,4,6.25,30.3509,3.187,1,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r128_p1_K4096_check.txt,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r128_p1_K4096_perf.txt
r128_p1_K8192,128,1,8192,64,2,3.125,29.9753,1.91,1,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r128_p1_K8192_check.txt,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r128_p1_K8192_perf.txt
r128_p1_K16384,128,1,16384,64,2,3.125,30.6162,4.089,1,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r128_p1_K16384_check.txt,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r128_p1_K16384_perf.txt
r128_p2_K4096,128,2,4096,64,2,3.125,28.8786,-1.819,1,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r128_p2_K4096_check.txt,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r128_p2_K4096_perf.txt
r128_p2_K8192,128,2,8192,64,2,3.125,30.279,2.942,1,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r128_p2_K8192_check.txt,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r128_p2_K8192_perf.txt
r128_p2_K16384,128,2,16384,64,2,3.125,29.0974,-1.075,1,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r128_p2_K16384_check.txt,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r128_p2_K16384_perf.txt
r160_p0_K4096,160,0,4096,64,4,6.25,29.0958,-1.08,1,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r160_p0_K4096_check.txt,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r160_p0_K4096_perf.txt
r160_p0_K8192,160,0,8192,64,1,1.5625,29.1885,-0.765,1,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r160_p0_K8192_check.txt,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r160_p0_K8192_perf.txt
r160_p0_K16384,160,0,16384,64,0,0,29.7452,1.127,1,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r160_p0_K16384_check.txt,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r160_p0_K16384_perf.txt
r160_p1_K4096,160,1,4096,64,2,3.125,28.6895,-2.462,1,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r160_p1_K4096_check.txt,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r160_p1_K4096_perf.txt
r160_p1_K8192,160,1,8192,64,0,0,29.0861,-1.113,1,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r160_p1_K8192_check.txt,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r160_p1_K8192_perf.txt
